State_county,Sex,Count,Row_Percent,Cumulative_Row_Percent
AL: Franklin County (01059),Male,0,,
AL: Franklin County (01059),Female,0,,
AL: Franklin County (01059),Total,0,,
AL: Geneva County (01061),Male,0,,
AL: Geneva County (01061),Female,0,,
AL: Geneva County (01061),Total,0,,
AL: Greene County (01063),Male,0,,
AL: Greene County (01063),Female,0,,
AL: Greene County (01063),Total,0,,
AL: Hale County (01065),Male,0,,
AL: Hale County (01065),Female,0,,
AL: Hale County (01065),Total,0,,
AL: Henry County (01067),Male,0,,
AL: Henry County (01067),Female,0,,
AL: Henry County (01067),Total,0,,
AL: Houston County (01069),Male,0,,
AL: Houston County (01069),Female,0,,
AL: Houston County (01069),Total,0,,
AL: Jackson County (01071),Male,0,,
AL: Jackson County (01071),Female,0,,
AL: Jackson County (01071),Total,0,,
AL: Jefferson County (01073),Male,0,,
AL: Jefferson County (01073),Female,0,,
AL: Jefferson County (01073),Total,0,,
AL: Lamar County (01075),Male,0,,
AL: Lamar County (01075),Female,0,,
AL: Lamar County (01075),Total,0,,
AL: Lauderdale County (01077),Male,0,,
AL: Lauderdale County (01077),Female,0,,
AL: Lauderdale County (01077),Total,0,,
AL: Lawrence County (01079),Male,0,,
AL: Lawrence County (01079),Female,0,,
AL: Lawrence County (01079),Total,0,,
AL: Lee County (01081),Male,0,,
AL: Lee County (01081),Female,0,,
AL: Lee County (01081),Total,0,,
AL: Limestone County (01083),Male,0,,
AL: Limestone County (01083),Female,0,,
AL: Limestone County (01083),Total,0,,
AL: Lowndes County (01085),Male,0,,
AL: Lowndes County (01085),Female,0,,
AL: Lowndes County (01085),Total,0,,
AL: Macon County (01087),Male,0,,
AL: Macon County (01087),Female,0,,
AL: Macon County (01087),Total,0,,
AL: Madison County (01089),Male,0,,
AL: Madison County (01089),Female,0,,
AL: Madison County (01089),Total,0,,
AL: Marengo County (01091),Male,0,,
AL: Marengo County (01091),Female,0,,
AL: Marengo County (01091),Total,0,,
AL: Marion County (01093),Male,0,,
AL: Marion County (01093),Female,0,,
AL: Marion County (01093),Total,0,,
AL: Marshall County (01095),Male,0,,
AL: Marshall County (01095),Female,0,,
AL: Marshall County (01095),Total,0,,
AL: Mobile County (01097),Male,0,,
AL: Mobile County (01097),Female,0,,
AL: Mobile County (01097),Total,0,,
AL: Monroe County (01099),Male,0,,
AL: Monroe County (01099),Female,0,,
AL: Monroe County (01099),Total,0,,
AL: Montgomery County (01101),Male,0,,
AL: Montgomery County (01101),Female,0,,
AL: Montgomery County (01101),Total,0,,
AL: Morgan County (01103),Male,0,,
AL: Morgan County (01103),Female,0,,
AL: Morgan County (01103),Total,0,,
AL: Perry County (01105),Male,0,,
AL: Perry County (01105),Female,0,,
AL: Perry County (01105),Total,0,,
AL: Pickens County (01107),Male,0,,
AL: Pickens County (01107),Female,0,,
AL: Pickens County (01107),Total,0,,
AL: Pike County (01109),Male,0,,
AL: Pike County (01109),Female,0,,
AL: Pike County (01109),Total,0,,
AL: Randolph County (01111),Male,0,,
AL: Randolph County (01111),Female,0,,
AL: Randolph County (01111),Total,0,,
AL: Russell County (01113),Male,0,,
AL: Russell County (01113),Female,0,,
AL: Russell County (01113),Total,0,,
AL: St. Clair County (01115),Male,0,,
AL: St. Clair County (01115),Female,0,,
AL: St. Clair County (01115),Total,0,,
AL: Shelby County (01117),Male,0,,
AL: Shelby County (01117),Female,0,,
AL: Shelby County (01117),Total,0,,
AL: Sumter County (01119),Male,0,,
AL: Sumter County (01119),Female,0,,
AL: Sumter County (01119),Total,0,,
AL: Talladega County (01121),Male,0,,
AL: Talladega County (01121),Female,0,,
AL: Talladega County (01121),Total,0,,
AL: Tallapoosa County (01123),Male,0,,
AL: Tallapoosa County (01123),Female,0,,
AL: Tallapoosa County (01123),Total,0,,
AL: Tuscaloosa County (01125),Male,0,,
AL: Tuscaloosa County (01125),Female,0,,
AL: Tuscaloosa County (01125),Total,0,,
AL: Walker County (01127),Male,0,,
AL: Walker County (01127),Female,0,,
AL: Walker County (01127),Total,0,,
AL: Washington County (01129),Male,0,,
AL: Washington County (01129),Female,0,,
AL: Washington County (01129),Total,0,,
AL: Wilcox County (01131),Male,0,,
AL: Wilcox County (01131),Female,0,,
AL: Wilcox County (01131),Total,0,,
AL: Winston County (01133),Male,0,,
AL: Winston County (01133),Female,0,,
AL: Winston County (01133),Total,0,,
Alaska,Male,0,,
Alaska,Female,0,,
Alaska,Total,0,,
AK: Anchorage Municipality (02020) - 1990+,Male,0,,
AK: Anchorage Municipality (02020) - 1990+,Female,0,,
AK: Anchorage Municipality (02020) - 1990+,Total,0,,
AK: Bethel Census Area (02050) - 1990+,Male,0,,
AK: Bethel Census Area (02050) - 1990+,Female,0,,
AK: Bethel Census Area (02050) - 1990+,Total,0,,
AK: Bristol Bay Borough (02060) - 1990+,Male,0,,
AK: Bristol Bay Borough (02060) - 1990+,Female,0,,
AK: Bristol Bay Borough (02060) - 1990+,Total,0,,
AK: Denali Borough (02068) - 1990+,Male,0,,
AK: Denali Borough (02068) - 1990+,Female,0,,
AK: Denali Borough (02068) - 1990+,Total,0,,
AK: Fairbanks North Star Borough (02090) - 1990+,Male,0,,
AK: Fairbanks North Star Borough (02090) - 1990+,Female,0,,
AK: Fairbanks North Star Borough (02090) - 1990+,Total,0,,
AK: Haines Borough (02100) - 1990+,Male,0,,
AK: Haines Borough (02100) - 1990+,Female,0,,
AK: Haines Borough (02100) - 1990+,Total,0,,
AK: Juneau City and Borough (02110) - 1990+,Male,0,,
AK: Juneau City and Borough (02110) - 1990+,Female,0,,
AK: Juneau City and Borough (02110) - 1990+,Total,0,,
AK: Kenai Peninsula Borough (02122) - 1990+,Male,0,,
AK: Kenai Peninsula Borough (02122) - 1990+,Female,0,,
AK: Kenai Peninsula Borough (02122) - 1990+,Total,0,,
AK: Ketchikan Gateway Borough (02130) - 1990+,Male,0,,
AK: Ketchikan Gateway Borough (02130) - 1990+,Female,0,,
AK: Ketchikan Gateway Borough (02130) - 1990+,Total,0,,
AK: Kodiak Island Borough (02150) - 1990+,Male,0,,
AK: Kodiak Island Borough (02150) - 1990+,Female,0,,
AK: Kodiak Island Borough (02150) - 1990+,Total,0,,
AK: Matanuska-Susitna Borough (02170) - 1990+,Male,0,,
AK: Matanuska-Susitna Borough (02170) - 1990+,Female,0,,
AK: Matanuska-Susitna Borough (02170) - 1990+,Total,0,,
AK: Nome Census Area (02180) - 1990+,Male,0,,
AK: Nome Census Area (02180) - 1990+,Female,0,,
AK: Nome Census Area (02180) - 1990+,Total,0,,
AK: North Slope Borough (02185) - 1990+,Male,0,,
AK: North Slope Borough (02185) - 1990+,Female,0,,
AK: North Slope Borough (02185) - 1990+,Total,0,,
AK: Northwest Arctic Borough (02188) - 1990+,Male,0,,
AK: Northwest Arctic Borough (02188) - 1990+,Female,0,,
AK: Northwest Arctic Borough (02188) - 1990+,Total,0,,
AK: Sitka City and Borough (02220) - 1990+,Male,0,,
AK: Sitka City and Borough (02220) - 1990+,Female,0,,
AK: Sitka City and Borough (02220) - 1990+,Total,0,,
AK: Southeast Fairbanks Census Area (02240) - 1990+,Male,0,,
AK: Southeast Fairbanks Census Area (02240) - 1990+,Female,0,,
AK: Southeast Fairbanks Census Area (02240) - 1990+,Total,0,,
AK: Valdez-Cordova Census Area (02261) - 1990+,Male,0,,
AK: Valdez-Cordova Census Area (02261) - 1990+,Female,0,,
AK: Valdez-Cordova Census Area (02261) - 1990+,Total,0,,
AK: Wade Hampton Census Area (02270) - 1990+,Male,0,,
AK: Wade Hampton Census Area (02270) - 1990+,Female,0,,
AK: Wade Hampton Census Area (02270) - 1990+,Total,0,,
AK: Yukon-Koyukuk Census Area (02290) - 1990+,Male,0,,
AK: Yukon-Koyukuk Census Area (02290) - 1990+,Female,0,,
AK: Yukon-Koyukuk Census Area (02290) - 1990+,Total,0,,
AK: Wrangell-Petersburg-Prince of Wales-Hyder Census Area - 1990+,Male,0,,
AK: Wrangell-Petersburg-Prince of Wales-Hyder Census Area - 1990+,Female,0,,
AK: Wrangell-Petersburg-Prince of Wales-Hyder Census Area - 1990+,Total,0,,
AK: Petersburg Census Area (02195) - 2014+,Male,0,,
AK: Petersburg Census Area (02195) - 2014+,Female,0,,
AK: Petersburg Census Area (02195) - 2014+,Total,0,,
AK: Prince of Wales-Hyder Census Area (02198) - 2014+,Male,0,,
AK: Prince of Wales-Hyder Census Area (02198) - 2014+,Female,0,,
AK: Prince of Wales-Hyder Census Area (02198) - 2014+,Total,0,,
AK: Wrangell Borough (02275) - 2014+,Male,0,,
AK: Wrangell Borough (02275) - 2014+,Female,0,,
AK: Wrangell Borough (02275) - 2014+,Total,0,,
AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,Male,0,,
AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,Female,0,,
AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2013,Total,0,,
AK: Wrangell-Petersburg Census Area (02280) - 1990-2013,Male,0,,
AK: Wrangell-Petersburg Census Area (02280) - 1990-2013,Female,0,,
AK: Wrangell-Petersburg Census Area (02280) - 1990-2013,Total,0,,
AK: Aleutian Islands - 1990+,Male,0,,
AK: Aleutian Islands - 1990+,Female,0,,
AK: Aleutian Islands - 1990+,Total,0,,
AK: Aleutians East Borough (02013) - 1994+,Male,0,,
AK: Aleutians East Borough (02013) - 1994+,Female,0,,
AK: Aleutians East Borough (02013) - 1994+,Total,0,,
AK: Aleutians West Census Area (02016) - 1994+,Male,0,,
AK: Aleutians West Census Area (02016) - 1994+,Female,0,,
AK: Aleutians West Census Area (02016) - 1994+,Total,0,,
AK: Aleutian Islands Census Area (02010) - 1990-1993,Male,0,,
AK: Aleutian Islands Census Area (02010) - 1990-1993,Female,0,,
AK: Aleutian Islands Census Area (02010) - 1990-1993,Total,0,,
AK: Dillingham/Lake and Peninsula - 1990+,Male,0,,
AK: Dillingham/Lake and Peninsula - 1990+,Female,0,,
AK: Dillingham/Lake and Peninsula - 1990+,Total,0,,
AK: Dillingham Census Area (02070) - 1994+,Male,0,,
AK: Dillingham Census Area (02070) - 1994+,Female,0,,
AK: Dillingham Census Area (02070) - 1994+,Total,0,,
AK: Lake and Peninsula Borough (02164) - 1994+,Male,0,,
AK: Lake and Peninsula Borough (02164) - 1994+,Female,0,,
AK: Lake and Peninsula Borough (02164) - 1994+,Total,0,,
AK: Dillingham/Lake and Peninsula (02910) - 1990-1993,Male,0,,
AK: Dillingham/Lake and Peninsula (02910) - 1990-1993,Female,0,,
AK: Dillingham/Lake and Peninsula (02910) - 1990-1993,Total,0,,
AK: Skagway/Yakutat/Angoon - 1990+,Male,0,,
AK: Skagway/Yakutat/Angoon - 1990+,Female,0,,
AK: Skagway/Yakutat/Angoon - 1990+,Total,0,,
AK: Hoonah-Angoon Census Area (02105) - 2014+,Male,0,,
AK: Hoonah-Angoon Census Area (02105) - 2014+,Female,0,,
AK: Hoonah-Angoon Census Area (02105) - 2014+,Total,0,,
AK: Skagway Municipality (02230) - 2014+,Male,0,,
AK: Skagway Municipality (02230) - 2014+,Female,0,,
AK: Skagway Municipality (02230) - 2014+,Total,0,,
AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2013,Male,0,,
AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2013,Female,0,,
AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2013,Total,0,,
AK: Yakutat City and Borough (02282) - 1994+,Male,0,,
AK: Yakutat City and Borough (02282) - 1994+,Female,0,,
AK: Yakutat City and Borough (02282) - 1994+,Total,0,,
AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,Male,0,,
AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,Female,0,,
AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,Total,0,,
AK: Alaska (02900) - 1969-1989,Male,0,,
AK: Alaska (02900) - 1969-1989,Female,0,,
AK: Alaska (02900) - 1969-1989,Total,0,,
Arizona,Male,0,,
Arizona,Female,0,,
Arizona,Total,0,,
AZ: Apache County (04001),Male,0,,
AZ: Apache County (04001),Female,0,,
AZ: Apache County (04001),Total,0,,
AZ: Cochise County (04003),Male,0,,
AZ: Cochise County (04003),Female,0,,
AZ: Cochise County (04003),Total,0,,
AZ: Coconino County (04005),Male,0,,
AZ: Coconino County (04005),Female,0,,
AZ: Coconino County (04005),Total,0,,
AZ: Gila County (04007),Male,0,,
AZ: Gila County (04007),Female,0,,
AZ: Gila County (04007),Total,0,,
AZ: Graham County (04009),Male,0,,
AZ: Graham County (04009),Female,0,,
AZ: Graham County (04009),Total,0,,
AZ: Greenlee County (04011),Male,0,,
AZ: Greenlee County (04011),Female,0,,
AZ: Greenlee County (04011),Total,0,,
AZ: Maricopa County (04013),Male,0,,
AZ: Maricopa County (04013),Female,0,,
AZ: Maricopa County (04013),Total,0,,
AZ: Mohave County (04015),Male,0,,
AZ: Mohave County (04015),Female,0,,
AZ: Mohave County (04015),Total,0,,
AZ: Navajo County (04017),Male,0,,
AZ: Navajo County (04017),Female,0,,
AZ: Navajo County (04017),Total,0,,
AZ: Pima County (04019),Male,0,,
AZ: Pima County (04019),Female,0,,
AZ: Pima County (04019),Total,0,,
AZ: Pinal County (04021),Male,0,,
AZ: Pinal County (04021),Female,0,,
AZ: Pinal County (04021),Total,0,,
AZ: Santa Cruz County (04023),Male,0,,
AZ: Santa Cruz County (04023),Female,0,,
AZ: Santa Cruz County (04023),Total,0,,
AZ: Yavapai County (04025),Male,0,,
AZ: Yavapai County (04025),Female,0,,
AZ: Yavapai County (04025),Total,0,,
AZ: La Paz/Yuma - 1969+,Male,0,,
AZ: La Paz/Yuma - 1969+,Female,0,,
AZ: La Paz/Yuma - 1969+,Total,0,,
AZ: La Paz County (04012) - 1994+,Male,0,,
AZ: La Paz County (04012) - 1994+,Female,0,,
AZ: La Paz County (04012) - 1994+,Total,0,,
AZ: Yuma County (04027) - 1994+,Male,0,,
AZ: Yuma County (04027) - 1994+,Female,0,,
AZ: Yuma County (04027) - 1994+,Total,0,,
AZ: La Paz/Yuma (04910) - 1969-1993,Male,0,,
AZ: La Paz/Yuma (04910) - 1969-1993,Female,0,,
AZ: La Paz/Yuma (04910) - 1969-1993,Total,0,,
Arkansas,Male,0,,
Arkansas,Female,0,,
Arkansas,Total,0,,
AR: Arkansas County (05001),Male,0,,
AR: Arkansas County (05001),Female,0,,
AR: Arkansas County (05001),Total,0,,
AR: Ashley County (05003),Male,0,,
AR: Ashley County (05003),Female,0,,
AR: Ashley County (05003),Total,0,,
AR: Baxter County (05005),Male,0,,
AR: Baxter County (05005),Female,0,,
AR: Baxter County (05005),Total,0,,
AR: Benton County (05007),Male,0,,
AR: Benton County (05007),Female,0,,
AR: Benton County (05007),Total,0,,
AR: Boone County (05009),Male,0,,
AR: Boone County (05009),Female,0,,
AR: Boone County (05009),Total,0,,
AR: Bradley County (05011),Male,0,,
AR: Bradley County (05011),Female,0,,
AR: Bradley County (05011),Total,0,,
AR: Calhoun County (05013),Male,0,,
AR: Calhoun County (05013),Female,0,,
AR: Calhoun County (05013),Total,0,,
AR: Carroll County (05015),Male,0,,
AR: Carroll County (05015),Female,0,,
AR: Carroll County (05015),Total,0,,
AR: Chicot County (05017),Male,0,,
AR: Chicot County (05017),Female,0,,
AR: Chicot County (05017),Total,0,,
AR: Clark County (05019),Male,0,,
AR: Clark County (05019),Female,0,,
AR: Clark County (05019),Total,0,,
AR: Clay County (05021),Male,0,,
AR: Clay County (05021),Female,0,,
AR: Clay County (05021),Total,0,,
AR: Cleburne County (05023),Male,0,,
AR: Cleburne County (05023),Female,0,,
AR: Cleburne County (05023),Total,0,,
AR: Cleveland County (05025),Male,0,,
AR: Cleveland County (05025),Female,0,,
AR: Cleveland County (05025),Total,0,,
AR: Columbia County (05027),Male,0,,
AR: Columbia County (05027),Female,0,,
AR: Columbia County (05027),Total,0,,
AR: Conway County (05029),Male,0,,
AR: Conway County (05029),Female,0,,
AR: Conway County (05029),Total,0,,
AR: Craighead County (05031),Male,0,,
AR: Craighead County (05031),Female,0,,
AR: Craighead County (05031),Total,0,,
AR: Crawford County (05033),Male,0,,
AR: Crawford County (05033),Female,0,,
AR: Crawford County (05033),Total,0,,
AR: Crittenden County (05035),Male,0,,
AR: Crittenden County (05035),Female,0,,
AR: Crittenden County (05035),Total,0,,
AR: Cross County (05037),Male,0,,
AR: Cross County (05037),Female,0,,
AR: Cross County (05037),Total,0,,
AR: Dallas County (05039),Male,0,,
AR: Dallas County (05039),Female,0,,
AR: Dallas County (05039),Total,0,,
AR: Desha County (05041),Male,0,,
AR: Desha County (05041),Female,0,,
AR: Desha County (05041),Total,0,,
AR: Drew County (05043),Male,0,,
AR: Drew County (05043),Female,0,,
AR: Drew County (05043),Total,0,,
AR: Faulkner County (05045),Male,0,,
AR: Faulkner County (05045),Female,0,,
AR: Faulkner County (05045),Total,0,,
AR: Franklin County (05047),Male,0,,
AR: Franklin County (05047),Female,0,,
AR: Franklin County (05047),Total,0,,
AR: Fulton County (05049),Male,0,,
AR: Fulton County (05049),Female,0,,
AR: Fulton County (05049),Total,0,,
AR: Garland County (05051),Male,0,,
AR: Garland County (05051),Female,0,,
AR: Garland County (05051),Total,0,,
AR: Grant County (05053),Male,0,,
AR: Grant County (05053),Female,0,,
AR: Grant County (05053),Total,0,,
AR: Greene County (05055),Male,0,,
AR: Greene County (05055),Female,0,,
AR: Greene County (05055),Total,0,,
AR: Hempstead County (05057),Male,0,,
AR: Hempstead County (05057),Female,0,,
AR: Hempstead County (05057),Total,0,,
AR: Hot Spring County (05059),Male,0,,
AR: Hot Spring County (05059),Female,0,,
AR: Hot Spring County (05059),Total,0,,
AR: Howard County (05061),Male,0,,
AR: Howard County (05061),Female,0,,
AR: Howard County (05061),Total,0,,
AR: Independence County (05063),Male,0,,
AR: Independence County (05063),Female,0,,
AR: Independence County (05063),Total,0,,
AR: Izard County (05065),Male,0,,
AR: Izard County (05065),Female,0,,
AR: Izard County (05065),Total,0,,
AR: Jackson County (05067),Male,0,,
AR: Jackson County (05067),Female,0,,
AR: Jackson County (05067),Total,0,,
AR: Jefferson County (05069),Male,0,,
AR: Jefferson County (05069),Female,0,,
AR: Jefferson County (05069),Total,0,,
AR: Johnson County (05071),Male,0,,
AR: Johnson County (05071),Female,0,,
AR: Johnson County (05071),Total,0,,
AR: Lafayette County (05073),Male,0,,
AR: Lafayette County (05073),Female,0,,
AR: Lafayette County (05073),Total,0,,
AR: Lawrence County (05075),Male,0,,
AR: Lawrence County (05075),Female,0,,
AR: Lawrence County (05075),Total,0,,
AR: Lee County (05077),Male,0,,
AR: Lee County (05077),Female,0,,
AR: Lee County (05077),Total,0,,
AR: Lincoln County (05079),Male,0,,
AR: Lincoln County (05079),Female,0,,
AR: Lincoln County (05079),Total,0,,
AR: Little River County (05081),Male,0,,
AR: Little River County (05081),Female,0,,
AR: Little River County (05081),Total,0,,
AR: Logan County (05083),Male,0,,
AR: Logan County (05083),Female,0,,
AR: Logan County (05083),Total,0,,
AR: Lonoke County (05085),Male,0,,
AR: Lonoke County (05085),Female,0,,
AR: Lonoke County (05085),Total,0,,
AR: Madison County (05087),Male,0,,
AR: Madison County (05087),Female,0,,
AR: Madison County (05087),Total,0,,
AR: Marion County (05089),Male,0,,
AR: Marion County (05089),Female,0,,
AR: Marion County (05089),Total,0,,
AR: Miller County (05091),Male,0,,
AR: Miller County (05091),Female,0,,
AR: Miller County (05091),Total,0,,
AR: Mississippi County (05093),Male,0,,
AR: Mississippi County (05093),Female,0,,
AR: Mississippi County (05093),Total,0,,
AR: Monroe County (05095),Male,0,,
AR: Monroe County (05095),Female,0,,
AR: Monroe County (05095),Total,0,,
AR: Montgomery County (05097),Male,0,,
AR: Montgomery County (05097),Female,0,,
AR: Montgomery County (05097),Total,0,,
AR: Nevada County (05099),Male,0,,
AR: Nevada County (05099),Female,0,,
AR: Nevada County (05099),Total,0,,
AR: Newton County (05101),Male,0,,
AR: Newton County (05101),Female,0,,
AR: Newton County (05101),Total,0,,
AR: Ouachita County (05103),Male,0,,
AR: Ouachita County (05103),Female,0,,
AR: Ouachita County (05103),Total,0,,
AR: Perry County (05105),Male,0,,
AR: Perry County (05105),Female,0,,
AR: Perry County (05105),Total,0,,
AR: Phillips County (05107),Male,0,,
AR: Phillips County (05107),Female,0,,
AR: Phillips County (05107),Total,0,,
AR: Pike County (05109),Male,0,,
AR: Pike County (05109),Female,0,,
AR: Pike County (05109),Total,0,,
AR: Poinsett County (05111),Male,0,,
AR: Poinsett County (05111),Female,0,,
AR: Poinsett County (05111),Total,0,,
AR: Polk County (05113),Male,0,,
AR: Polk County (05113),Female,0,,
AR: Polk County (05113),Total,0,,
AR: Pope County (05115),Male,0,,
AR: Pope County (05115),Female,0,,
AR: Pope County (05115),Total,0,,
AR: Prairie County (05117),Male,0,,
AR: Prairie County (05117),Female,0,,
AR: Prairie County (05117),Total,0,,
AR: Pulaski County (05119),Male,0,,
AR: Pulaski County (05119),Female,0,,
AR: Pulaski County (05119),Total,0,,
AR: Randolph County (05121),Male,0,,
AR: Randolph County (05121),Female,0,,
AR: Randolph County (05121),Total,0,,
AR: St. Francis County (05123),Male,0,,
AR: St. Francis County (05123),Female,0,,
AR: St. Francis County (05123),Total,0,,
AR: Saline County (05125),Male,0,,
AR: Saline County (05125),Female,0,,
AR: Saline County (05125),Total,0,,
AR: Scott County (05127),Male,0,,
AR: Scott County (05127),Female,0,,
AR: Scott County (05127),Total,0,,
AR: Searcy County (05129),Male,0,,
AR: Searcy County (05129),Female,0,,
AR: Searcy County (05129),Total,0,,
AR: Sebastian County (05131),Male,0,,
AR: Sebastian County (05131),Female,0,,
AR: Sebastian County (05131),Total,0,,
AR: Sevier County (05133),Male,0,,
AR: Sevier County (05133),Female,0,,
AR: Sevier County (05133),Total,0,,
AR: Sharp County (05135),Male,0,,
AR: Sharp County (05135),Female,0,,
AR: Sharp County (05135),Total,0,,
AR: Stone County (05137),Male,0,,
AR: Stone County (05137),Female,0,,
AR: Stone County (05137),Total,0,,
AR: Union County (05139),Male,0,,
AR: Union County (05139),Female,0,,
AR: Union County (05139),Total,0,,
AR: Van Buren County (05141),Male,0,,
AR: Van Buren County (05141),Female,0,,
AR: Van Buren County (05141),Total,0,,
AR: Washington County (05143),Male,0,,
AR: Washington County (05143),Female,0,,
AR: Washington County (05143),Total,0,,
AR: White County (05145),Male,0,,
AR: White County (05145),Female,0,,
AR: White County (05145),Total,0,,
AR: Woodruff County (05147),Male,0,,
AR: Woodruff County (05147),Female,0,,
AR: Woodruff County (05147),Total,0,,
AR: Yell County (05149),Male,0,,
AR: Yell County (05149),Female,0,,
AR: Yell County (05149),Total,0,,
California,Male,96060625,49.7,49.7
California,Female,97335962,50.3,100
California,Total,193396587,100,100
CA: Alameda County (06001),Male,3942531,49,49
CA: Alameda County (06001),Female,4099002,51,100
CA: Alameda County (06001),Total,8041533,100,100
CA: Alpine County (06003),Male,2860,52.3,52.3
CA: Alpine County (06003),Female,2606,47.7,100
CA: Alpine County (06003),Total,5466,100,100
CA: Amador County (06005),Male,98524,53.3,53.3
CA: Amador County (06005),Female,86491,46.7,100
CA: Amador County (06005),Total,185015,100,100
CA: Butte County (06007),Male,553071,49.5,49.5
CA: Butte County (06007),Female,564638,50.5,100
CA: Butte County (06007),Total,1117709,100,100
CA: Calaveras County (06009),Male,112228,50,50
CA: Calaveras County (06009),Female,112211,50,100
CA: Calaveras County (06009),Total,224439,100,100
CA: Colusa County (06011),Male,54849,51.3,51.3
CA: Colusa County (06011),Female,52091,48.7,100
CA: Colusa County (06011),Total,106940,100,100
CA: Contra Costa County (06013),Male,2708551,48.8,48.8
CA: Contra Costa County (06013),Female,2841495,51.2,100
CA: Contra Costa County (06013),Total,5550046,100,100
CA: Del Norte County (06015),Male,75765,54.9,54.9
CA: Del Norte County (06015),Female,62177,45.1,100
CA: Del Norte County (06015),Total,137942,100,100
CA: El Dorado County (06017),Male,457997,50,50
CA: El Dorado County (06017),Female,458771,50,100
CA: El Dorado County (06017),Total,916768,100,100
CA: Fresno County (06019),Male,2402010,49.9,49.9
CA: Fresno County (06019),Female,2413665,50.1,100
CA: Fresno County (06019),Total,4815675,100,100
CA: Glenn County (06021),Male,70432,50.5,50.5
